S,article_id,surprise_rating,second_rating,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,surprise_avg,rouderd_suprise,like_r1,like_r2,like_r3,like_avg,rouded_like,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article
0,9432,43,45,http://www.medicalnewstoday.com/articles/14131.php,Depression also a problem in patients with Parkinson's,Depression,Depression,,,,3,1,3,2.33,2,4,2,3,3,3,4,4,4,,,,,,,,,,While Parkinsons disease typically brings mind symptoms tremors slow movement researchers found nearly half Parkinsons patients also suffer depression  While might seem natural someone disease Parkinsons might become depressed simple says neurologist Irene Richard MD University Rochester Medical Center Many patients assume thats normal feel way They might say If Parkinsons disease feel way too Thats true If treat depression theyll still symptoms disease feel better Its one aspect disease may treatable says Richard People diagnosed serious diseases may also disabling rheumatoid arthritis  nearly likely become depressed Richard coauthor William McDonald MD psychiatrist Emory University discussed links depression movement disorders like Parkinsons disease review article August 24 issue journal Neurology In article titled Can blue genes affect mood movement two noted team Columbia University linked gene known cause movement disorder known dystonia type earlyonset depression Now physicians around country exploring possible links mood movement disorders Parkinsons disease Of Parkinsons patients become depressed half major depression significant impact lives others milder forms depression still distressing Theres huge amount suffering due depression comes frequently part Parkinsons disease says Richard expert psychiatric aspects disease Patients lost pleasure took activities hobbies difficulty sleeping poor appetite common symptoms depression The depression part illness simply reaction disease Weve found physician brings topic patients honest discuss depression oftentimes bring themselves But depression numberone factor responsible poor quality life among patients We need educate physicians ask patients Parkinsons disease says Richard associate professor Neurology Psychiatry Doctors estimate 1 million people North America Parkinsons disease targets small group cells part brain known substantia nigra produce chemical called dopamine The loss brain cells results abnormal signals parts brain Richard says appears influence persons mood In addition disease also affects cells produce brain chemicals serotonin norepinephrine play role depression Richard McDonald leading national research study test effectiveness antidepressants treating symptoms Parkinsons disease The study evaluate common antidepressant medications paroxetine brand name Paxil venlafaxine brand name Effexor treating depression patients experience Richard says now large placebocontrolled study see well antidepressant medications actually work patients Parkinsons The disease wreaks havoc brain may cause medications work differently healthy people The study include 228 patients 15 sites around nation The fouryear 4 million study funded National Institute Neurological Disorders Stroke Contact Tom Rickey tom_rickeyurmcrochesteredu 5852757954 University Rochester Medical Center
1,17114,97,82,http://www.medicalnewstoday.com/articles/23226.php,Testing new manic depression drugs in slime mould: an alternative to the current serendipitous approach,Depression,Depression,,,,5,5,4,4.666666667,5,5,3,4,4,4,5,2,5,,,,,,,,,,Research University College London UCL scientists could lead development effective drugs treating manic depression thanks new screening approach developed slime mould  microbe lives leaves dung forest floors The breakthrough using slime mould Dictyostelium first possible alternative current  accidental  method discovering manic depression drugs The findings published today May 2005 issue Molecular Pharmacology This research carried team led Dr Robin Williams UCL Department Biology describes team tested variants current drugs market slime mould It represents first step towards development scientific system testing new treatments manic depression Manic depression drugs market today always found serendipitously says Dr Williams Lithium originally proposed treatment gout late 1800s chance later found helped balance moods widely used manic depression drug market Valproic acid another drug commonly used treat epilepsy manic depression also found accidentally initially used solvent dissolving epilepsy drugs With results identify new compounds hope effect manic depression treatments without unwanted side effects We testing using simple microbe  slime mould  much faster easier reliable use human nerve cells Current manic depression drugs like valproic acid sideeffects  increased chance liver damage increase chance birth defects embryonic malformations taken mothers first trimester pregnancy may increase HIV infection However developing alternative manic depression drugs far proved impossible The scientists hope screening system involves testing possible drugs slime mould looking chemical change provide important scientific building block could lead better safer range manic depression drugs The team currently developing variants valproic acid expect fewer harmful sideeffects The origins Dr Williams work field set Nature 2002 found protein may involved causing manic depression called prolyl oligopeptidase This protein present slime mould mammalian nervous system  according number teams protein functions abnormally manic depressed patients The team went discover common way bipolar drugs work ability deplete chemical inositol trisphosphate found nervous system This common effect caused three different drugs core manic depressive drugs work team used discovery develop system testing new manic depression drugs Using system team found two possible alternatives current drugs market lithium valproic acid carbamazepine The novel drugs based valproic acid They still work deplete chemical inositol trisphosphate team eliminated harmful side effects Initial tests slime mould later confirmed animal nervous system ready extended comprehensive trials The team first group scientists working field use slime mould design better manic depression drugs Dr Williams said Testing new drugs slime mould possible cells function similar way human slime mould If drug acts basic part cells function by example inhibiting enzyme inhibit enzyme human slime mould cells Working slime mould faster easier reliable complicated mammalian nerve cell Although system predict precisely new drugs impact people  brain complex single cell  made first step identifying new manic depression drugs previously impossible This gives us basis believing new drugs could useful would warrant testing Testing drug slime mould initially acts reliable guide scientists first time screen drugs identify better treatments manic depression 1 The paper Effects valproic acid derivatives inositol trisphosphate depletion teratogenicity GSK3beta inhibition viral replication  A screening approach new bipolar disorder drugs based valproic acid core structure appears May issue Molecular Pharmacology 2 Dr Williams based UCLs Department Biology Wolfson Institute Biomedical Research funded The Wellcome Trust This project carried consortium UK internationally based research scientists 3 Contributors paper a Eickholt BJ Towers G Ryves WJ Eikel D Adley K Ylinen L Chadborn N Harwood A Nau H Williams RS b BJE NC Molecular Neurobiology Group EBJ NHC Medical Research Council Centre Developmental Biology Kings College London London SE1 1UL United Kingdom c GJT LMJY Wohl Virion Centre GJT LMJY Department Immunology Molecular Pathology University College London W1T 4JF United Kingdom d WJR AJH Medical Research Council Laboratory Molecular Cell Biology University College London WC1E6BT United Kingdom e DE HN Institute Food Toxicology Chemical Analysis Centre Systemic Neuroscience School Veterinary Medicine Hanover 30169 Hanover Germany f KA RSBW Department Biology Wolfson Institute Biomedical Research University College London WC1 E6BT United Kingdom 4 To speak author Robin Williams please contact directly 44 20 7679 7268 robinwilliamsuclacuk 5 For information please contact Alex Brew UCLs press office 020 7679 9726 07747 565 056 call mobile number speak Robin Williams outside normal working hours abrewuclacuk httpwwwuclacuk
2,388,42,19,http://www.medicalnewstoday.com/articles/4063.php,Dietary cocktail reduces cancer deaths,Cancer / Oncology,Cancer / Oncology,,,,1,5,5,3.666666667,4,4,5,4,4.33,4.33,2,1,3,,,,,,,,,,A dietary supplement vitamins minerals may help slash risk cancer  research found The supplement contained levels antioxidant nutrients found diet rich fruit vegetables Antioxidants help mop highly reactive molecules called free radicals cause damage bodys tissues Researchers say work  SuViMax study  provides compelling evidence importance healthy diet Scientists France gave supplement thousands men women seven year period found cancer rates cut almost third A total 13000 men women aged 35 60 took part study Half given daily supplement containing 6mg betacarotene  120mg vitamin C 90mg vitamin E 100 micrograms selenium  20 milligrams zinc A dummy capsule given participants Over sevenandahalf year followup period 103 men 71 women died Effect men Cancer affected 562 volunteers major cause death heart disease afflicted 271 In total 56 men 47 women died various kinds cancer heart disease claimed lives 28 men five women Taking supplement effect heart disease influence cancer rates women But scientists said 31 reduction risk cancers seen men taking antioxidants And overall death rate 37 lower among men took supplement The researchers led Dr Serge Hercberg Scientific Technical Institute Nutrition Diet Paris said studies would needed confirm findings But add Even now however completely support recommendations following healthy diet particularly one rich fruit vegetables major dietary sources antioxidant vitamins minerals ages life sexes The researchers said women may received benefits diet better men They believe sexes may benefit research carried UK poor diet widespread An Oxford University study year ago looked vitamins C E betacarotene concluded waste money This followed Food Standards Agency report warning overdosing vitamins minerals could harmful The French scientists agreed vitamins minerals better obtained fruit vegetables They wrote There reason believe effect would less dietary sources antioxidants particularly fruit vegetables provide protective substances
3,1650,48,7,http://www.medicalnewstoday.com/articles/5331.php,Super smoking addicts see cigarettes as their pal,Cancer / Oncology,Cancer / Oncology,,,,1,1,1,1,1,3,1,3,2.33,2.33,4,2,4,,,,,,,,,,Heavy smokers  light 25 times day  look cigarettes comfort companionship according new study Indepth interviews 51 heavy smokers journal Nicotine  Tobacco Research uncovered anger fear thought quitting say Beti Thompson PhD colleagues Fred Hutchinson Cancer Research Center Over 90 percent believed even though smoking dangerous friend The danger losing friend threatening dangers smoking worried would take place cigarettes emotionally Thompson says Although heavy smokers know need stop smoking feel angry source physical pleasure taken them They see victims duped smoking continued smoking adds Thompson colleagues interviewed smokers find kinds psychological traits might linked heavy smoking ability quit Most study participants white men ages 35 54 smoking nearly 25 years Nearly twothirds participants said physically addicted cigarettes More half said smoked relieve stress anger keep people away For many participants threat world  scolding boss argument spouse  sufficient drive back smoking way cope feel better Thompson says Many smokers tried quit multiple occasions said social pressures including friends family smoke kept successfully quitting The participants also feared withdrawal symptoms weight gain loss physical pleasure giving cigarettes The study supported National Cancer Institute Health Behavior News Service 202 3872829 wwwhbnsorg Interviews Contact Beti Thompson 206 6674673 bthompsofhcrcorg Nicotine  Tobacco Research Contact Gary E Swan PhD 650 8595322 Center Advancement Health Contact Ira R Allen Director Public Affairs 2023872829 presscfahorg
4,1850,26,9,http://www.medicalnewstoday.com/articles/5533.php,How to reduce your chances of developing colon cancer,Cancer / Oncology,Cancer / Oncology,,,,3,3,1,2.333333333,2,3,4,5,4,4,1,4,3,,,,,,,,,,According reputable researcher 70 colon cancers preventable changed diets bit According current research several things could do Researchers say future research tell us interrelated strategies in diet plan would best particular needs One factor experts agree insulin resistance  As body becomes less responsive insulin  produces insulin make this High insulin levels along related growth factors trigger changes cell processes ways aid development cancers  Inactive overweight people apple shaped people big waists likely develop colon cancer Inactive overweight people tend insulin resistant hence higher levels insulin bodies According new studies consume lots saturated fats refined carbohydrates sugars refined grains increasing risk getting colon cancers because effect insulin levels among things The National Cancer Institute USA advises people take exercise Exercise well obvious benefits know about also stops insulin levels going keeps down The American Institute Cancer Research AICR advises people take hour moderate exercise day Consuming enough calcium latest strategy lower colon cancer risk A recent study looked recurrence colon polyps noncancerous growths turn cancer Polyp recurrence 29 percent lower higher consumption calcium vitamin D  Research presented AICRs recent research conference suggested calcium might especially important highfat diet By binding fatty acids bile acids  promote cancer  digestive tract calcium may protect colon
5,2836,47,14,http://www.medicalnewstoday.com/articles/6577.php,Atkins diet for fat kids says cancer specialist Julian Peto,Cancer / Oncology,Cancer / Oncology,,,,2,4,1,2.333333333,2,1,5,5,3.67,3.67,1,1,3,,,,,,,,,,Cancer specialist Julian Peto says fat children go atkins diet lose weight get illnesses Prof J Peto Institute Cancer Research UK He says kids cannot lose weight would benefit highprotein lowcarb diet He says diet suppresses appetite children keeps getting fat again Professor Peto warned obesity overtaking smoking UKs number one preventable killer He says need tackle obesity early He says current dietary advice working Children getting fatter fatter He reckons children weight checked regular intervals school In UK USA many countries child obesity soaring says In 1998 9 British fouryearolds obese In 1988 figure half amount Being overweight increases persons risk developing diabetes  heart disease cancers  The Atkins diet involves eating lots protein foods time consuming much fewer carbohydrates  People eat way tend eat less proteins low carbs make less hungry It insulin  If eat loads carbs one session insulin levels rise high High insulin levels tells body brain lots things ideal High insulin levels tells brain do use stored fat This means couple hours high carb meal body two choices either get low sugar feeling  tiredness  eat food  carb binge cycle perpetuates Professor Peto think high salt fat ideal But recognises Atkins diet gives obese people better chance living healthier life anything else currently available A percentage population quite high percentage cannot break chain high carb bingeing The Atkins diet breaks chain permanently It question balancing good bad What better superfat life one diet another eat highproteins low carbs stay slim I refer people serious weight problem persistent weight problem It also possible highprotein lowcarb diet eat loads meat The important thing remember protein obtained many sources Soy products abound many shops Try eat good quality fats olive oil almonds  monounsaturated fats Try eat saturated fats come animals egg yolk If eat meat lean add olive oil salads grab handful almonds There fast carbs slow carbs Go slow ones Slow carbs release carbohydrates slowly system better regulating insulin levels hence controlling hunger If want really get it get book lists GI good GI stands Glycemic Index The higher number faster carb With obese people keeping low GI foods helps lot For people interested general health keeping eye amount high GI foods helps stay trim
6,7273,68,31,http://www.medicalnewstoday.com/articles/11534.php,Mothers turn fearless when peptide level drops,Depression,Depression,,,,5,5,3,4.333333333,4,4,4,4,4,4,1,2,3,,,,,,,,,,Everyone knows get mother offspring What makes females unafraid comes protecting young may low levels peptide small piece protein released brain normally activates fear anxiety  according new research published August issue Behavioral Neuroscience We see fierce protection offspring many animals says Stephen Gammie University WisconsinMadison assistant professor zoology lead author recent paper There stories cats rescuing kittens burning buildings birds swooping people chicks ground In terms biology makes sense mothers would lay lives protect offspring especially means parents genes passed next generation says Gammie But adds despite observations theories explaining mothers display behavior  commonly known maternal aggression  little research investigated biological mechanisms turn trait new mothers Weve known long time fear anxiety decrease lactation explains Gammie Maybe its decrease allows mothers attack situation normally would evoke fear response Testing hypothesis Wisconsin professor colleagues studied link maternal aggression mice levels corticotropinreleasing hormone CRH peptide acts brain control behavior About six days group mice gave birth new mothers received injections containing either one three doses CRH saline solution amount peptide Following injection given day four consecutive days researchers returned mother mice pups Twentyeight minutes later researchers removed pups introduced male intruder Under normal conditions female rodents fiercely attack males says Gammie noting males sometimes eat pups the best defense mom offense For study mice received either dose low dose peptide displayed expected behavior As levels CRH increased number attacks duration dramatically decreased The results show example mice lowest levels CRH attacked 20 times duration 45 seconds mice moderate levels peptide attacked six times eight seconds Mice highest levels CRH didnt attack all When put male cage moms would sit there They werent protective all If anything skittish They showed fear response says Gammie The researchers note altering levels peptide appeared affect maternal aggression normal maternal behaviors nursing observed mothers encounters male mice Based results Gammie says Low CRH levels appear necessary part maternal aggression If dont keep low wont see fiercely protective behavior He adds finding  first evidence suggesting biological mechanism enables parents regardless potential danger defend offspring  may also begin explain mothers occasionally neglect harm offspring Postpartum depression individuals linked higher levels CRH release overly active stress response explains Gammie If CRH needs low see maternal protection offspring work suggests explains moms high postpartum depression high CRH may neglect also may abuse children Written Emily Carlson 6082629772 emilycarlsonwiscedu Contact Stephen Gammie scgammiewiscedu 6082623457 University WisconsinMadison
7,1000,26,22,http://www.medicalnewstoday.com/articles/4677.php,How bullied children are affected,Depression,Depression,,,,2,1,1,1.333333333,1,3,2,5,3.33,3.33,2,4,4,,,,,,,,,,Theyre likely exhibit depression antisocial Young students plagued bullying may greater risk developing depression antisocial behavior says study current issue Child Development Researchers observed playground interaction 266 elementary school students start kindergarten end first grade The researchers counted instances aggression victimization Substantial rates victimization observed On average children targets peer physical verbal harassment every three six minutes lead researcher James Snyder Wichita State University says prepared statement He notes many kindergarten students verbally physically abused peers But time students reach first grade increasing amount verbal physical bullying focused smaller group perpetual victims Some children experienced harassment great regularity Other children appeared respond effectively aggression peers harassment experiences became increasingly intermittent Snyder says He says research needs done better understand children learn effectively deal avoid repeated bullying others cant that The study found boys suffered increasing harassment likely demonstrate antisocial depressive behaviors In turn boys antisocial depressed seemed attract bullying Girls bullied kindergarten likely engage antisocial behavior home grew older act increasingly depressed school bullying continued Antisocial behavior boys seemed offer shortterm relief bullying increased likelihood bullying long term On hand antisocial behavior girls made likely bullied shortterm longterm Information students antisocial behaviors  arguing bullying tantrams  often students seemed sad lonely withdrawn provided teachers parents
8,268304,13,4,http://www.medicalnewstoday.com/articles/310375.php,Is an insulin pump the best therapy for everyone with type 1 diabetes?,Diabetes,Diabetes,,,,1,2,4,2.333333333,2,3,5,5,4.33,4.33,3,5,4,,,,,,,,,,Insulin pump therapy contributes better blood glucose control type 1 diabetes and pump technology continues improve become part sensorcontrolled feedback artificial pancreas systems essentially patients would benefit capabilities according Commentary published Diabetes Technology  Therapeutics DTT peerreviewed journal Mary Ann Liebert Inc publishers The article available free DTT website June 17 2016 In Commentary Is Pump Therapy All Type 1 Diabetes Darrell M Wilson MD Stanford University CA compares contrasts advantages limitations diabetes management strategies including selfmonitoring blood glucose multiple daily injections continuous subcutaneous insulin infusion insulin pumps fully closedloop artificial pancreas systems combine pumpbased insulin delivery integrated continuous glucose monitoring The author provides perspectives large knowledge base published studies assessed safety effectiveness different diabetes therapeutic approaches glycemic control hypoglycemic events Insulin pump therapy come farther along past 3 decades pumps much smaller remotely operated smartphones says DTT EditorinChief Satish Garg MD Professor Medicine Pediatrics University Colorado Denver Darrell highlights importance pump therapy children young adults pathways leading closedloop systems Is Pump Therapy All Type 1 Diabetes Wilson Darrell M Diabetes Technology  Therapeutics DOI101089dia20160108 Published online May 9 2016
9,1162,19,16,http://www.medicalnewstoday.com/articles/4841.php,Visit Dentist Before Radiation Therapy to Prevent Oral Problems,Cancer / Oncology,Cancer / Oncology,,,,2,1,2,1.666666667,2,4,3,3,3.33,3.33,4,4,2,,,,,,,,,,CHICAGO USA  More one million Americans diagnosed cancer year 40 percent develop serious mouth problems result head neck radiation therapy chemotherapy  Severe oral complications patients inability eat drink often force doctors delay stop radiation treatment To give patients best chance fight cancer dentist must added cancer treatment team patient must visit dentist beginning radiation therapy according new report NovemberDecember 2003 issue General Dentistry  Academy General Dentistrys AGD clinical peerreviewed journal The goal head neck radiation kill cancer cells limiting damage adjacent healthy tissue structures like salivary glands jawbones tissues lining mouth However damage healthy tissue unavoidable During treatment dentist work patient monitor changes mouth may occur dry mouth  increased cavities painful mouth sores The less oral problems patient experiences likely patient stay treatment program says Bruce Burton DMD MAGD ABGD AGD spokesperson Schedule visit dentist one month starting radiation advises Jody S Harrison DDS lead report author Doing may help prevent serious complications Oral complications neck head radiation  Dry mouth  Cavities  Oral yeast infections  Taste loss  Inflammation ulceration mouth lining  Nonhealing wounds  Limited mouth opening  Nutritional deficiencies  Pretreatment strategies cancer patients Contact general dentist examination therapy begins Have oral diseases treated early Extraction hopeless questionable teeth accomplished three weeks prior treatment CONTACT Susan Urbanczyk public relations manager 3124404308 susanuagdorg Jennifer Starkey public relations coordinator 3124404341 JenniferSagdorg The Academy General Dentistry nonprofit organization 37000 general dentists dedicated staying uptodate profession continuing education A general dentist primary care provider patients ages responsible diagnosis treatment management overall coordination services related patients oral health needs
