Sno,frequency,surprise,like,c1_familiarity,c2_familiarity
1,45,3,4,4,3.06234414
2,82,5,5,5,3.06234414
3,19,1,4,2,3.06234414
4,7,1,3,4,3.06234414
5,9,3,3,1,3.06234414
6,14,2,1,1,3.06234414
7,31,5,4,1,3.06234414
8,22,2,3,2,3.06234414
9,4,1,3,3,3.06234414
10,16,2,4,4,3.06234414
11,23,4,3,4,3.06234414
12,14,3,2,1,3.06234414
13,35,3,3,1,3.06234414
14,24,5,5,3,3.06234414
15,32,3,3,4,3.06234414
16,15,1,3,5,3.06234414
17,18,1,3,2,3.06234414
18,17,2,3,4,3.06234414
19,23,1,4,4,3.06234414
20,42,2,4,1,3.06234414
21,31,3,5,4,3.06234414
22,24,2,3,2,3.06234414
23,10,3,4,4,3.06234414
24,39,2,3,2,3.06234414
25,20,4,5,4,3.06234414
26,22,4,3,3,3.06234414
27,24,5,4,3,3.06234414
28,41,5,4,3,3.06234414
29,20,1,5,2,3.06234414
30,38,1,3,4,3.06234414
31,48,5,5,3,3.06234414
32,30,3,4,3,3.06234414
33,23,5,3,2,3.06234414
34,34,2,3,4,3.06234414
35,21,2,4,2,3.06234414
36,53,1,4,4,3.06234414
37,11,3,2,3,3.06234414
38,24,4,3,2,3.06234414
39,51,1,4,4,3.06234414
40,20,3,3,4,3.06234414
41,15,4,4,4,3.06234414
42,12,5,5,3,3.06234414
43,12,4,4,1,3.06234414
44,23,1,4,4,3.06234414
45,23,5,5,2,3.06234414
46,16,4,5,3,3.06234414
47,10,3,4,2,3.06234414
48,26,3,5,4,3.06234414
49,20,3,4,3,3.06234414
50,35,2,2,4,3.06234414
51,45,4,5,4,3.06234414
52,65,2,4,5,3.06234414
53,23,2,4,5,3.06234414
54,40,1,3,4,3.06234414
55,7,1,4,3,3.06234414
56,12,4,3,3,3.06234414
57,14,4,2,4,3.06234414
58,28,1,4,2,3.06234414
59,16,5,2,4,3.06234414
60,21,3,2,2,3.06234414
61,15,1,1,4,3.06234414
62,28,3,5,4,3.06234414
63,20,4,3,4,3.06234414
